index,timestampSec,durationSec,keyFrame,pictureType,meanY,p50Y,p95Y,p99Y,maxY,bright90Fraction,bright98Fraction,deltaMean,deltaFraction01,deltaMaxTile,deltaTileX,deltaTileY
0,0.0,,1,I,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,,,,,
1,0.04,,0,P,0.16569951180392156,0.07059921568627452,0.9019607843137254,0.9971952941176471,0.9999999999999999,0.052125,0.037975,0.8343004881960784,0.947875,0.9294007843137254,40,40
2,0.08,,0,P,0.07107933678431372,0.07283764705882352,0.07283764705882352,0.07283764705882352,0.07283764705882352,0.0,0.0,0.09841152647058822,0.1168,0.31615357156862745,160,0
3,0.12,,0,P,0.09919175866666667,0.09469490196078433,0.12383372549019608,0.34991372549019606,0.9700792156862744,0.0002,0.0,0.02836871811764707,0.03005,0.05814003627450982,80,80
4,0.16,,0,P,0.09929674766666667,0.0941286274509804,0.12234823529411763,0.35101960784313724,0.9583145098039215,0.000225,0.0,0.0007988915882352956,0.0,0.002080937254901967,120,160
5,0.2,,0,P,0.0993121839019608,0.0941286274509804,0.12238196078431372,0.35101960784313724,0.9583145098039215,0.000225,0.0,0.0002026169019607845,0.0,0.0008082039215686282,0,80
6,0.24,,0,P,0.09931071456862746,0.0941286274509804,0.12224470588235294,0.35101960784313724,0.9583145098039215,0.000225,0.0,0.00013823592156862757,0.0,0.0008320470588235302,0,80
7,0.28,,0,P,0.09933806750980392,0.0941286274509804,0.12224470588235294,0.35155450980392156,0.9583145098039215,0.000225,0.0,2.7352941176470586e-05,0.0,0.0003504901960784314,120,80
8,0.32,,0,P,0.09933777339215687,0.0941286274509804,0.12238196078431372,0.35155450980392156,0.9583145098039215,0.000225,0.0,0.00012970588235294126,0.0,0.0007843137254901968,0,80
9,0.36,,0,P,0.09933806750980392,0.0941286274509804,0.12224470588235294,0.35155450980392156,0.9583145098039215,0.000225,0.0,0.00012970588235294126,0.0,0.0007843137254901968,0,80
10,0.4,,0,P,0.09933777339215687,0.0941286274509804,0.12238196078431372,0.35155450980392156,0.9583145098039215,0.000225,0.0,0.00012970588235294126,0.0,0.0007843137254901968,0,80
11,0.44,,0,P,0.09933806750980392,0.0941286274509804,0.12224470588235294,0.35155450980392156,0.9583145098039215,0.000225,0.0,0.00012970588235294126,0.0,0.0007843137254901968,0,80
12,0.48,,0,P,0.09933777339215687,0.0941286274509804,0.12238196078431372,0.35155450980392156,0.9583145098039215,0.000225,0.0,0.00012970588235294126,0.0,0.0007843137254901968,0,80
13,0.52,,0,P,0.09933806750980392,0.0941286274509804,0.12224470588235294,0.35155450980392156,0.9583145098039215,0.000225,0.0,0.00012970588235294126,0.0,0.0007843137254901968,0,80
14,0.56,,0,P,0.09933510029411764,0.0941286274509804,0.12353019607843137,0.3511741176470588,0.9566627450980392,0.0002,0.0,0.0008725719607843148,0.0,0.002258702941176471,120,80
15,0.6,,0,P,0.09928176696078432,0.0941286274509804,0.12353019607843137,0.35032784313725485,0.9566627450980392,0.0002,0.0,5.333333333333332e-05,0.0,0.0006495098039215687,0,0
16,0.64,,0,P,0.09928176696078432,0.0941286274509804,0.12353019607843137,0.35032784313725485,0.9566627450980392,0.0002,0.0,0.0,0.0,0.0,0,0
17,0.68,,0,P,0.09928176696078432,0.0941286274509804,0.12353019607843137,0.35032784313725485,0.9566627450980392,0.0002,0.0,0.0,0.0,0.0,0,0
18,0.72,,0,P,0.09928176696078432,0.0941286274509804,0.12353019607843137,0.35032784313725485,0.9566627450980392,0.0002,0.0,0.0,0.0,0.0,0,0
19,0.76,,0,P,0.09928176696078432,0.0941286274509804,0.12353019607843137,0.35032784313725485,0.9566627450980392,0.0002,0.0,0.0,0.0,0.0,0,0
20,0.8,,0,P,0.09928176696078432,0.0941286274509804,0.12353019607843137,0.35032784313725485,0.9566627450980392,0.0002,0.0,0.0,0.0,0.0,0,0
21,0.84,,0,P,0.09928176696078432,0.0941286274509804,0.12353019607843137,0.35032784313725485,0.9566627450980392,0.0002,0.0,0.0,0.0,0.0,0,0
