index,timestampSec,durationSec,keyFrame,pictureType,meanY,p50Y,p95Y,p99Y,maxY,bright90Fraction,bright98Fraction,deltaMean,deltaFraction01,deltaMaxTile,deltaTileX,deltaTileY
0,0.0,,1,I,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,,,,,
1,0.04,,0,P,0.09924085778431373,0.0941286274509804,0.12214588235294117,0.34872470588235294,0.9666674509803921,0.000225,0.0,0.9007591422156862,0.999775,0.9156774901960784,0,120
2,0.08,,0,P,0.09924835396078432,0.0941286274509804,0.12157960784313726,0.351801568627451,0.9588243137254903,0.000175,0.0,0.0012533716274509804,0.0,0.003886074509803921,120,80
3,0.12,,0,P,0.09917514782352942,0.0941286274509804,0.1227121568627451,0.3511678431372549,0.9588243137254903,0.0002,0.0,0.0008448368431372549,0.0,0.003338828431372548,120,80
4,0.16,,0,P,0.09915736237254903,0.0941286274509804,0.12175450980392157,0.35075686274509804,0.9588243137254903,0.000225,0.0,0.0005193857254901962,0.0,0.002049019607843138,0,0
5,0.2,,0,P,0.09915950496078432,0.0941286274509804,0.12204235294117646,0.35052156862745093,0.9588243137254903,0.000225,0.0,0.00013843670588235298,0.0,0.0009217980392156867,120,80
6,0.24,,0,P,0.09915617162745098,0.0941286274509804,0.12175450980392157,0.35075686274509804,0.9588243137254903,0.000225,0.0,0.00011333333333333337,0.0,0.0008651960784313731,120,80
7,0.28,,0,P,0.09915617162745098,0.0941286274509804,0.12175450980392157,0.35075686274509804,0.9588243137254903,0.000225,0.0,0.0,0.0,0.0,0,0
8,0.32,,0,P,0.09915950496078432,0.0941286274509804,0.12204235294117646,0.35052156862745093,0.9588243137254903,0.000225,0.0,0.00011078431372549022,0.0,0.0008651960784313731,120,80
9,0.36,,0,P,0.09915617162745098,0.0941286274509804,0.12175450980392157,0.35075686274509804,0.9588243137254903,0.000225,0.0,0.00011078431372549022,0.0,0.0008651960784313731,120,80
10,0.4,,0,P,0.09915950496078432,0.0941286274509804,0.12204235294117646,0.35052156862745093,0.9588243137254903,0.000225,0.0,0.00011078431372549022,0.0,0.0008651960784313731,120,80
