index,tMs,currentTime,meanY,p50Y,p95Y,p99Y,maxY,bright90Fraction,bright98Fraction,deltaMean,deltaMaxTile,deltaTileX,deltaTileY
0,0,0.027371,0.07539859605879531,0.0784313725490196,0.0784313725490196,0.08235294117647059,0.08124705882352941,0,0,,,,
1,16.203999999999724,0.043711,0.07539859605879531,0.0784313725490196,0.0784313725490196,0.08235294117647059,0.08124705882352941,0,0,0,0,0,0
2,32.60399999999936,0.060068,0.10295497323531513,0.09803921568627451,0.13725490196078433,0.34901960784313724,0.9753647058823529,0.000225,0,0.0284564755639527,0.05751262879697606,120,80
3,49.503999999998996,0.075562,0.10295497323531513,0.09803921568627451,0.13725490196078433,0.34901960784313724,0.9753647058823529,0.000225,0,0,0,0,0
4,65.90399999999863,0.092555,0.10295497323531513,0.09803921568627451,0.13725490196078433,0.34901960784313724,0.9753647058823529,0.000225,0,0,0,0,0
5,82.80400000000009,0.108991,0.10286962150982731,0.09803921568627451,0.13333333333333333,0.34901960784313724,0.9753647058823529,0.000225,0,0.0002939460595138371,0.0016210707370191812,0,40
6,99.503999999999,0.125564,0.10286962150982731,0.09803921568627451,0.13333333333333333,0.34901960784313724,0.9753647058823529,0.000225,0,0,0,0,0
7,116.80400000000009,0.145207,0.10286730401963134,0.09803921568627451,0.13333333333333333,0.34901960784313724,0.9753647058823529,0.000225,0,9.797443300485611e-05,0.0010638653440400959,0,0
8,133.003999999999,0.160504,0.10287630784316075,0.09803921568627451,0.13333333333333333,0.34901960784313724,0.9753647058823529,0.000225,0,2.2561782971024512e-05,0.0005640445742756128,40,0
9,166.503999999999,0.192697,0.10287630784316075,0.09803921568627451,0.13333333333333333,0.34901960784313724,0.9753647058823529,0.000225,0,0,0,0,0
10,199.3040000000001,0.22602,0.10287630784316075,0.09803921568627451,0.13333333333333333,0.34901960784313724,0.9753647058823529,0.000225,0,0,0,0,0
11,232.8040000000001,0.258948,0.10332837800001766,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,0.0025821538439486174,0.007514237610157579,120,80
12,266.3040000000001,0.292403,0.1033283406666841,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,4.70291375182569e-05,0.00025074271485209465,120,120
13,299.40399999999863,0.325937,0.10332902723531158,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,5.0376672297716145e-06,2.662254963070154e-05,80,120
14,332.7039999999997,0.358381,0.10332902723531158,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,0,0,0,0
15,366.10399999999936,0.391794,0.10332896352942923,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,6.37054443359375e-08,1.5926361083984374e-06,40,40
16,399.503999999999,0.426676,0.10332896352942923,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,0,0,0,0
17,432.60399999999936,0.458877,0.10332896352942923,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,0,0,0,0
18,466.003999999999,0.492397,0.10332896352942923,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9636360784313724,0.000225,0,0,0,0,0
19,499.503999999999,0.525143,0.10334194433335718,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9591639215686274,0.0002,0,0.0009300117929466068,0.002161332075484097,0,0
20,532.6039999999994,0.559285,0.10333663570590611,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9591639215686274,0.0002,0,7.686642426997423e-05,0.0003037867182865739,120,120
21,565.9039999999986,0.592514,0.10333696745100415,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9591639215686274,0.0002,0,1.882920414209366e-06,1.553869806230068e-05,120,120
22,599.4039999999986,0.625406,0.10333696745100415,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9591639215686274,0.0002,0,0,0,0,0
23,632.9039999999986,0.658865,0.10333696745100415,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9591639215686274,0.0002,0,0,0,0,0
24,665.9039999999986,0.692073,0.10333696745100415,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9591639215686274,0.0002,0,0,0,0,0
25,700.3040000000001,0.726772,0.10333696745100415,0.09803921568627451,0.12941176470588237,0.3568627450980392,0.9591639215686274,0.0002,0,0,0,0,0
